IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
7.35,0.42,0.3,0.65,1.39,0.18,0.52,0.18,0.23,1.1,8.91,0.18,8.2,9.45,0.59,0.09,0.93,9.35,1.52,8.18,8.06,5.27,0.08,0.08,7.88,5.3,8.75,8.82,7.54,0.18,7.15,5.18,0.22,0.13,5.27,4.23,4.64,8.29
1.33,2.33,6.27,3.38,0.66,1.08,0.45,6.06,5.48,2.07,2.06,0.3,1.62,2.62,2.28,6.73,4.14,2.34,0.66,1.96,3.21,1.21,2.04,0.02,2.06,0.02,3.15,3.24,2.55,0.02,2.19,1.14,0.37,1.29,1.3,0.31,0.02,3.05
8.73,0.05,0.07,0.43,3.46,1.56,1.73,0.42,0.42,0.42,9.93,1.56,9.37,10.49,0.0,0.65,0.46,10.19,3.59,9.56,9.9,6.99,0.0,0.0,9.93,6.68,10.51,10.6,9.3,1.54,8.89,6.91,1.37,0.64,6.98,4.07,4.98,10.14
8.02,0.02,0.08,0.32,2.44,1.02,0.59,1.02,0.13,1.49,9.4,1.02,8.77,9.96,0.03,0.07,0.32,9.74,2.52,8.87,8.99,6.1,0.04,0.04,8.92,5.94,9.63,9.72,8.42,1.02,8.02,6.01,1.14,0.83,6.09,4.07,4.67,9.22
0.62,5.29,8.54,4.14,0.22,0.11,0.01,8.47,7.53,0.33,1.8,0.33,0.61,1.81,5.23,8.93,4.32,2.11,0.16,0.15,0.09,0.33,3.05,0.0,1.8,0.11,0.31,0.25,0.33,0.01,0.33,0.0,0.26,0.08,0.33,3.42,0.22,0.09
0.15,4.96,8.89,5.35,1.19,0.52,0.02,8.7,8.07,0.52,0.02,0.52,1.28,0.12,4.91,9.36,6.41,0.01,1.18,0.94,1.57,0.74,4.64,0.01,0.0,0.5,1.37,1.35,0.88,1.59,1.0,0.48,0.75,0.94,0.56,1.67,0.32,1.43
8.4,0.42,0.07,0.62,2.26,1.14,0.9,0.51,0.05,0.51,9.93,1.14,9.23,10.47,0.51,0.41,0.89,10.34,2.58,9.23,9.1,6.3,0.14,0.02,8.91,6.34,9.8,9.87,8.59,1.14,8.2,6.2,0.49,0.21,6.32,5.02,5.49,9.34
9.26,0.1,0.14,0.49,3.72,2.31,1.38,0.57,0.2,0.57,10.59,2.31,9.99,11.15,0.31,0.13,0.49,10.9,3.81,10.11,10.27,7.38,0.07,0.13,10.21,7.18,10.91,11.0,9.7,2.31,9.3,7.29,2.01,1.41,7.36,4.96,5.74,10.5
9.66,0.01,0.13,1.09,4.43,2.29,2.67,0.4,0.27,0.4,10.8,2.29,10.26,11.36,0.0,0.55,1.09,11.03,4.48,10.48,10.86,7.94,0.04,0.06,10.8,7.62,11.46,11.53,10.26,2.29,9.85,7.87,2.33,1.34,7.94,4.8,5.81,11.1
7.9,0.0,0.03,0.87,2.62,0.93,1.06,0.71,0.15,0.71,9.13,0.93,8.56,9.69,0.05,0.03,0.9,9.41,2.78,8.73,9.06,6.14,0.01,0.03,9.1,5.84,9.66,9.75,8.45,0.93,8.04,6.06,0.53,0.39,6.13,3.42,4.22,9.29
